Będzin Miasto,50.3194444444,19.1355555556
Inowrocław,52.8013888889,18.24
Tumlin,50.9669444444,20.6022222222
Lubaczów,50.1647222222,23.1266666667
Rawicz,51.6086138889,16.839725
Nowy Sącz,49.6066666667,20.7025
Zduńska Wola,51.6113888889,18.9466666667
Jabłonowo Pomorskie,53.3930555556,19.1616666667
Kobyłka Ossów,52.3261111111,21.1905555556
Radom Potkanów,51.3533333333,21.1022222222
Radom Południowy,51.3494444444,21.1011111111
Kończyce Radomskie,51.3494444444,21.0436111111
Iława Główna,53.5827777778,19.5741666667
Szklarska Poręba Dolna,50.8488888889,15.5575
Krzyż,52.8780555556,16.0219444444
Iława Miasto,53.5955694444,19.5486138889
Wejherowo Nanice,54.6036111111,18.2477777778
Wejherowo,54.6055555556,18.2286111111
Janikowo,52.7486888889,18.1160583333
Żagań,51.6044444444,15.3155555556
Sztum,53.925,19.0211111111
Poznań Główny,52.4016944444,16.9115833333
Laskowice Pomorskie,53.4911111111,18.4558333333
Skarżysko-Kamienna,51.1158333333,20.8816666667
Szamotuły,52.6033333333,16.5852777778
Wolbrom,50.3761111111,19.7725
Białystok Bacieczki,53.1510833333,23.0716666667
Białystok Starosielce,53.1226388889,23.0850833333
Białystok Stadion,53.098,23.1289722222
Białystok Fabryczny,53.1402777778,23.1838888889
Ostrów Wielkopolski Gorzyce,51.6477777778,17.7280555556
Białystok Wiadukt,53.1108305556,23.0950277778
Prabuty,53.7577777778,19.2102777778
Fasty,53.1769444444,23.0241666667
Jelenia Góra Cieplice,50.87,15.6888888889
Sokółka,53.4029583333,23.5030388889
Namysłów,51.0747222222,17.715
Rozprza,51.3021666667,19.6604444444
Oborniki Wielkopolskie,52.6572222222,16.8291666667
Cieszyn,49.7509,18.6372472222
Mogilno,52.6586111111,17.9458333333
Gorlice,49.6644444444,21.1625222222
Międzybórz Sycowski,51.4008333333,17.6538888889
Nowe Skalmierzyce,51.7077777778,17.9983333333
Skarżysko Zachodnie,51.1005555556,20.8591666667
Suchedniów Północny,51.0655555556,20.8491666667
Racibórz,50.0902777778,18.2261111111
Gdynia Cisowa Elektrowozownia,54.555,18.4269444444
Wojanów,50.8846888889,15.821525
Kłobuck,50.9077777778,18.9236111111
Mława,53.1261111111,20.3505555556
Racibórz Markowice,50.1136111111,18.27
Baby,51.5369444444,19.7166666667
Łapy,52.9832777778,22.8659611111
Racibórz Studzienna,50.0691666667,18.195
Ratibor Plania,50.0877777778,18.2372222222
Racibórz Lokomotywownia,50.0741666667,18.21
Lubliniec,50.6727777778,18.6911111111
Wołów,51.3334722222,16.6332777778
Wasilków,53.1980833333,23.1768916667
Giżycko,54.0313888889,21.7803888889
Szklarska Poręba Średnia,50.8380555556,15.5402777778
Biała Podlaska,52.0202777778,23.1336111111
Skoczów,49.7936638889,18.7899416667
Kąty Wrocławskie,51.0382888889,16.7514361111
Mikołajki Pomorskie,53.8511111111,19.1541666667
Niewodnica,53.0836111111,23.0474
Trypucie,53.0716805556,23.0261666667
Gniewkowo,52.8886111111,18.4055555556
